transaction_id,sender_account,amount,sender_avg_amount,sender_max_amount,sender_tx_count,amount_to_sender_avg,amount_to_sender_max,sender_tx_count_24h,sender_volume_24h,amount_to_sender_volume_24h,is_new_recipient,same_day_count,same_day_total,same_recipient_count,rapid_transfer_count,hour,is_off_hours,is_cross_border,is_high_risk_country,cross_border_count_7d,cross_border_volume_7d,cross_border_ratio_7d,time_since_last_transaction_hours,recurring_pattern_score,amount_near_threshold_flag,same_day_cumulative_amount,structuring_pattern_score,amount_z_score,amount_deviation_from_baseline_30d,tx_frequency_7d,tx_frequency_30d,frequency_change_vs_avg_7d,unique_recipients_7d,counterparty_change_score_7d
1,ACC000001,9059.53,442.6216233931795,885.243246786359,0,20.467888420246577,10.233944210123289,0,0.0,1.0,1.0,0,0.0,0,0,10,0.0,0.0,1.0,0.0,0.0,0.0,999999.0,0.0,1.0,9059.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ACC000001,9380.72,9059.53,9059.53,1,1.0354532740660938,1.0354532740660938,1,9059.53,1.0354532740660938,1.0,1,9059.53,1,0,13,0.0,0.0,1.0,0.0,0.0,0.0,2.107500028611111,0.0,1.0,18440.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ACC000001,9477.26,9220.125,9380.72,2,1.0278884505361912,1.0102913209220614,2,18440.25,0.5139442252680956,1.0,0,0.0,1,0,13,0.0,0.0,1.0,0.0,0.0,0.0,-431.34249998083334,0.0,1.0,9477.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ACC000001,9455.68,9305.836666666668,9477.26,3,1.016102080737143,0.997722970563222,2,18440.25,0.512773959138298,1.0,0,0.0,0,0,12,0.0,0.0,1.0,0.0,0.0,0.0,-72.13861107611112,0.0,1.0,9455.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ACC000001,9789.18,9343.2975,9477.26,4,1.0477221773148078,1.0329124662613456,3,27895.93,0.3509178579097381,1.0,1,9455.68,1,0,14,0.0,0.0,1.0,0.0,0.0,0.0,-70.91805550805556,0.0,1.0,19244.86,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ACC000001,9580.46,9432.474,9789.18,5,1.0156889910324691,0.9786785001399504,2,18440.25,0.5195406786784343,0.0,0,0.0,0,0,16,0.0,0.0,1.0,0.0,0.0,0.0,-20.326111051944444,0.0,1.0,9580.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ACC000001,9294.87,9457.138333333334,9789.18,6,0.982841708811492,0.9495044528755218,5,47265.57,0.1966520238727682,0.0,0,0.0,1,0,16,0.0,0.0,1.0,0.0,0.0,0.0,-236.72749992944446,0.0,1.0,9294.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ACC000001,9099.86,9433.957142857142,9789.18,7,0.9645856836322284,0.9295834789022166,7,66037.7,0.137797954804604,1.0,1,9477.26,1,0,17,0.0,0.0,1.0,0.0,0.0,0.0,-427.8986110277778,0.0,1.0,18577.120000000003,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ACC000001,9635.42,9392.195,9789.18,8,1.0258965023618014,0.9842928621191968,8,75137.56,0.1282370627952251,0.0,0,0.0,1,0,10,0.0,0.0,1.0,0.0,0.0,0.0,-530.7169443483333,0.0,1.0,9635.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ACC000001,8874.45,9419.22,9789.18,9,0.942164000840834,0.90655703542074,5,47265.57,0.1877571771587648,1.0,0,0.0,0,0,13,0.0,0.0,1.0,0.0,0.0,0.0,-191.78416655722222,0.0,1.0,8874.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ACC000001,9904.35,9364.743,9789.18,10,1.057621122117286,1.011765030370266,3,28020.71,0.3534653475946898,0.0,1,9580.46,0,0,11,0.0,0.0,1.0,0.0,0.0,0.0,-25.704166545833335,0.0,1.0,19484.809999999998,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ACC000001,8551.42,9413.798181818182,9904.35,11,0.9083921106909026,0.8634004250657539,4,37925.06,0.2254820427442962,1.0,2,19484.81,1,0,12,0.0,0.0,1.0,0.0,0.0,0.0,-24.999722089722223,0.0,1.0,28036.229999999996,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ACC000001,8570.27,9341.933333333332,9904.35,12,0.91739789765145,0.8653036292134264,8,74595.79000000001,0.1148894595794213,0.0,0,0.0,1,0,9,0.0,0.0,1.0,0.0,0.0,0.0,-171.14444429944444,0.0,1.0,8570.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,ACC000001,8534.18,9282.574615384616,9904.35,13,0.919376396485491,0.8616597757550976,10,92460.93,0.0923003910949197,1.0,0,0.0,1,0,8,0.0,0.0,1.0,0.0,0.0,0.0,-388.37138873055557,0.0,1.0,8534.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,ACC000001,8942.84,9229.117857142855,9904.35,14,0.968981016216919,0.9029204339507388,7,65721.34,0.1360720886092706,0.0,0,0.0,0,0,12,0.0,0.0,1.0,0.0,0.0,0.0,-144.63611093916666,0.0,1.0,8942.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ACC000001,8678.1,9210.032666666666,9904.35,15,0.942244214986136,0.8761907646640112,14,128515.07,0.0675259329508982,1.0,0,0.0,1,0,17,0.0,0.0,1.0,0.0,0.0,0.0,-499.8927775927778,0.0,1.0,8678.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,ACC000001,9370.07,9176.786875,9904.35,16,1.0210621786942176,0.946056025887615,10,92108.9,0.1017281717619035,1.0,1,8570.27,0,0,8,0.0,0.0,1.0,0.0,0.0,0.0,-172.5466664658333,0.0,1.0,17940.34,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ACC000001,9197.7,9188.156470588236,9904.35,17,1.0010386772844275,0.9286525617531692,12,110773.84,0.083031336640492,0.0,0,0.0,1,0,9,0.0,0.0,1.0,0.0,0.0,0.0,-315.3588886736111,0.0,1.0,9197.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ACC000001,9993.77,9188.686666666668,9904.35,18,1.0876168012403655,1.0090283562273143,18,165396.36000000002,0.0604231556244647,0.0,1,9635.42,1,0,8,0.0,0.0,1.0,0.0,0.0,0.0,-532.8352775477778,0.0,1.0,19629.190000000002,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ACC000001,8615.97,9231.05947368421,9993.77,19,0.9333674021451492,0.8621341095502497,14,128505.72,0.0670473656736836,0.0,1,8534.18,0,0,17,0.0,0.0,1.0,0.0,0.0,0.0,-379.40944419861114,0.0,1.0,17150.15,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,ACC000001,9719.61,9200.305,9993.77,20,1.056444324400115,0.972566909184422,13,119971.54,0.0810159642861965,1.0,0,0.0,0,0,9,0.0,0.0,1.0,0.0,0.0,0.0,-339.24999973444443,0.0,1.0,9719.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,ACC000001,9850.78,9225.03380952381,9993.77,21,1.0678313167622409,0.9856920861696836,11,101478.97,0.0970721322851424,0.0,2,17940.34,0,0,12,0.0,0.0,1.0,0.0,0.0,0.0,-168.23333305194444,0.0,1.0,27791.120000000003,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ACC000001,9851.82,9253.476818181818,9993.77,22,1.0646614449438636,0.9857961510020742,11,102455.3,0.0961572510158088,0.0,1,8942.84,1,0,8,0.0,0.0,1.0,0.0,0.0,0.0,-148.63805525805554,0.0,1.0,18794.66,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,ACC000001,9024.18,9279.491739130435,9993.77,23,0.9724864522424416,0.9029805568869406,5,46476.48,0.1941665978146365,0.0,3,28036.23,0,0,10,0.0,0.0,1.0,0.0,0.0,0.0,-26.927777464722222,0.0,1.0,37060.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
