transaction_id,customer_id,sender_account,receiver_account,amount,transaction_type,channel,timestamp,description,destination_country,sender_avg_amount,sender_max_amount,sender_tx_count,amount_to_sender_avg,amount_to_sender_max
18,CUST00301,CUST00301,ACC21221,688.38,withdraw,mobile,2024-01-04T20:00:00+00:00,Transaction 18,ZW,688.38,688.38,0,1.0,1.0
1,CUST00301,CUST00301,ACC28354,1968.8,withdraw,mobile,2024-01-05T13:00:00+00:00,Transaction 1,ZW,688.38,688.38,1,2.860048229175746,2.860048229175746
8,CUST00301,CUST00301,ACC59226,838.84,transfer,atm,2024-01-12T15:00:00+00:00,Transaction 8,ZW,1328.59,1968.8,2,0.6313761205488526,0.4260666395774076
41,CUST00301,CUST00301,ACC41918,1396.71,transfer,mobile,2024-01-14T08:00:00+00:00,Transaction 41,ZW,1165.34,1968.8,3,1.1985429145142192,0.7094219829337668
22,CUST00301,CUST00301,ACC47733,1355.0,transfer,card,2024-01-14T18:00:00+00:00,Transaction 22,ZW,1223.1825,1968.8,4,1.1077660120219184,0.6882364892320195
33,CUST00301,CUST00301,ACC47659,438.64,withdraw,mobile,2024-01-14T18:00:00+00:00,Transaction 33,ZW,1249.5459999999998,1968.8,5,0.35103949754550856,0.2227956115400244
32,CUST00301,CUST00301,ACC85725,1169.39,withdraw,mobile,2024-01-17T09:00:00+00:00,Transaction 32,ZW,1114.395,1968.8,6,1.049349647117943,0.5939607882974401
43,CUST00301,CUST00301,ACC27236,1937.27,transfer,online,2024-01-19T19:00:00+00:00,Transaction 43,ZW,1122.2514285714285,1968.8,7,1.7262352719533185,0.983985168630638
9,CUST00301,CUST00301,ACC69787,1570.98,transfer,mobile,2024-01-20T03:00:00+00:00,Transaction 9,NL,1224.1287499999999,1968.8,8,1.2833453997383855,0.7979378301503454
37,CUST00301,CUST00301,ACC26402,1399.05,transfer,mobile,2024-01-21T08:00:00+00:00,Transaction 37,ZW,1262.6677777777777,1968.8,9,1.1080111685927767,0.7106105241771637
50,CUST00301,CUST00301,ACC61689,857.95,transfer,mobile,2024-01-22T18:00:00+00:00,Transaction 50,ZW,1276.3059999999998,1968.8,10,0.6722134033687848,0.43577305973181635
23,CUST00301,CUST00301,ACC70590,1117.84,withdraw,atm,2024-01-23T06:00:00+00:00,Transaction 23,ZW,1238.2736363636361,1968.8,11,0.9027406925037131,0.5677773262901259
2,CUST00301,CUST00301,ACC13843,1618.14,withdraw,atm,2024-01-24T20:00:00+00:00,Transaction 2,ZW,1228.2375,1968.8,12,1.3174487833175588,0.8218915075172695
12,CUST00301,CUST00301,ACC75679,1284.98,transfer,online,2024-01-26T05:00:00+00:00,Transaction 12,ZW,1258.2299999999998,1968.8,13,1.0212600240019711,0.6526716781796018
27,CUST00301,CUST00301,ACC21105,721.77,transfer,card,2024-01-27T06:00:00+00:00,Transaction 27,KE,1260.140714285714,1968.8,14,0.5727693675933018,0.36660402275497767
5,CUST00301,CUST00301,ACC21199,900.39,transfer,online,2024-01-28T22:00:00+00:00,Transaction 5,ZW,1224.2493333333332,1968.8,15,0.7354629285755516,0.4573293376676148
14,CUST00301,CUST00301,ACC65004,2578.69,transfer,mobile,2024-01-30T12:00:00+00:00,Transaction 14,ZW,1204.0081249999998,1968.8,16,2.14175464970388,1.3097775294595693
39,CUST00301,CUST00301,ACC75663,615.15,withdraw,online,2024-01-31T17:00:00+00:00,Transaction 39,ZW,1284.871764705882,2578.69,17,0.47876373105670433,0.23855135747220488
17,CUST00301,CUST00301,ACC84710,224.01,transfer,mobile,2024-02-05T21:00:00+00:00,Transaction 17,ZW,1247.665,2578.69,18,0.1795433870470038,0.08686968964862003
28,CUST00301,CUST00301,ACC38090,1232.95,deposit,online,2024-02-09T10:00:00+00:00,Transaction 28,ZW,1193.7884210526313,2578.69,19,1.0328044553429643,0.4781303685204503
38,CUST00301,CUST00301,ACC74373,1429.26,withdraw,mobile,2024-02-09T19:00:00+00:00,Transaction 38,ZW,1195.7464999999997,2578.69,20,1.195286793647316,0.5542581698459295
15,CUST00301,CUST00301,ACC97551,1072.69,transfer,atm,2024-02-13T06:00:00+00:00,Transaction 15,ZW,1206.8661904761902,2578.69,21,0.8888226453479083,0.41598253376714533
30,CUST00301,CUST00301,ACC84828,767.96,transfer,mobile,2024-02-14T21:00:00+00:00,Transaction 30,ZW,1200.7672727272725,2578.69,22,0.6395577373255283,0.29781012839852794
6,CUST00301,CUST00301,ACC53158,904.71,withdraw,mobile,2024-02-18T11:00:00+00:00,Transaction 6,ZW,1181.949565217391,2578.69,23,0.7654387518925992,0.350840930860243
19,CUST00301,CUST00301,ACC21626,1344.33,withdraw,mobile,2024-02-18T17:00:00+00:00,Transaction 19,ZW,1170.3979166666666,2578.69,24,1.1486093582844865,0.5213228422183356
34,CUST00301,CUST00301,ACC94722,1520.01,withdraw,mobile,2024-02-18T18:00:00+00:00,Transaction 34,ZW,1177.3552,2578.69,25,1.2910377429003583,0.5894504574027898
4,CUST00301,CUST00301,ACC97979,1168.9,withdraw,mobile,2024-02-19T14:00:00+00:00,Transaction 4,ZW,1190.5342307692306,2578.69,26,0.9818281321022982,0.45329217548445144
26,CUST00301,CUST00301,ACC33729,706.37,deposit,mobile,2024-02-24T07:00:00+00:00,Transaction 26,ZW,1189.7329629629628,2578.69,27,0.5937214669086963,0.2739259081161365
45,CUST00301,CUST00301,ACC77867,867.53,withdraw,mobile,2024-02-24T09:00:00+00:00,Transaction 45,ZW,1172.4699999999998,2578.69,28,0.7399165863518897,0.33642275729149296
21,CUST00301,CUST00301,ACC34418,1442.26,transfer,online,2024-02-28T17:00:00+00:00,Transaction 21,ZW,1161.9548275862066,2578.69,29,1.2412358602580849,0.5592994892755624
25,CUST00301,CUST00301,ACC39618,1356.33,withdraw,online,2024-03-01T00:00:00+00:00,Transaction 25,ZW,1171.2983333333332,2578.69,30,1.1579714248718302,0.525976367845689
31,CUST00301,CUST00301,ACC51499,1307.46,transfer,online,2024-03-02T22:00:00+00:00,Transaction 31,ZW,1177.2670967741935,2578.69,31,1.1105890953569886,0.5070248847282923
35,CUST00301,CUST00301,ACC55397,1013.46,transfer,mobile,2024-03-03T04:00:00+00:00,Transaction 35,ZW,1181.335625,2578.69,32,0.857893369634053,0.3930135068581334
24,CUST00301,CUST00301,ACC81773,1118.26,transfer,atm,2024-03-06T10:00:00+00:00,Transaction 24,ZW,1176.2484848484848,2578.69,33,0.9507004807271191,0.43365429733701993
49,CUST00301,CUST00301,ACC40819,1169.21,transfer,mobile,2024-03-08T21:00:00+00:00,Transaction 49,ZW,1174.5429411764705,2578.69,34,0.9954595604898627,0.45341239156315805
48,CUST00301,CUST00301,ACC30282,1069.97,transfer,atm,2024-03-11T02:00:00+00:00,Transaction 48,ZW,1174.3905714285713,2578.69,35,0.9110853118468498,0.4149277346249452
7,CUST00301,CUST00301,ACC38590,1666.72,transfer,atm,2024-03-12T15:00:00+00:00,Transaction 7,ZW,1171.49,2578.69,36,1.4227351492543683,0.6463436861352082
