transaction_id,sender_account,amount,sender_avg_amount,sender_max_amount,sender_tx_count,amount_to_sender_avg,amount_to_sender_max,amount_z_score,amount_deviation_from_baseline_30d,tx_frequency_7d,tx_frequency_30d,frequency_change_vs_avg_7d,sender_tx_count_24h,sender_volume_24h,amount_to_sender_volume_24h,is_new_recipient,unique_recipients_7d,counterparty_change_score_7d,hour,is_off_hours,time_since_last_transaction_hours,same_day_count,same_day_total,rapid_transfer_count,recurring_pattern_score,is_cross_border,is_high_risk_country,cross_border_count_7d,cross_border_volume_7d,cross_border_ratio_7d,amount_near_threshold_flag,same_day_cumulative_amount,structuring_pattern_score
18,CUST00301,688.38,688.38,688.38,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,1.0,999999.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,688.38,0.0
1,CUST00301,1968.8,688.38,688.38,1,2.860048229175746,2.860048229175746,0.0,1280.42,1.0,1.0,0.0,1.0,688.38,2.860048229175746,1.0,1.0,1.0,13.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1968.8,0.0
8,CUST00301,838.84,1328.59,1968.8,2,0.6313761205488526,0.4260666395774076,-0.7649833648334138,-489.7499999999999,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,838.84,0.0
41,CUST00301,1396.71,1165.34,1968.8,3,1.1985429145142192,0.7094219829337668,0.40488732692545265,231.37000000000012,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,8.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1396.71,0.0
22,CUST00301,1355.0,1223.1825,1968.8,4,1.1077660120219184,0.6882364892320195,0.2610644076829963,131.8175000000001,2.0,4.0,0.0,1.0,1396.71,0.9701369647242448,1.0,2.0,0.5,18.0,1.0,10.0,1.0,1396.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2751.71,0.0
33,CUST00301,438.64,1223.1825,1968.8,5,0.35860552288804004,0.2227956115400244,-1.5537855221396017,-784.5424999999999,2.0,4.0,0.0,1.0,1396.71,0.3140523086395887,1.0,2.0,0.5,18.0,1.0,10.0,1.0,1396.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1835.35,0.0
32,CUST00301,1169.39,1114.395,1968.8,6,1.049349647117943,0.5939607882974401,0.10711286505998992,54.99500000000012,4.0,6.0,0.0,0.0,0.0,1.0,1.0,4.0,0.6666666666666666,9.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1169.39,0.0
43,CUST00301,1937.27,1122.2514285714285,1968.8,7,1.7262352719533185,0.983985168630638,1.7131828224715413,815.0185714285715,4.0,7.0,0.0,0.0,0.0,1.0,1.0,4.0,0.5714285714285714,19.0,1.0,58.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1937.27,0.0
9,CUST00301,1570.98,1224.1287499999999,1968.8,8,1.2833453997383855,0.7979378301503454,0.6666703420829104,346.85125000000016,5.0,8.0,0.0,1.0,1937.27,0.810924651700589,1.0,5.0,0.625,3.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1570.98,0.0
37,CUST00301,1399.05,1262.6677777777777,1968.8,9,1.1080111685927767,0.7106105241771637,0.2714156145450514,136.38222222222225,6.0,9.0,0.0,0.0,0.0,1.0,1.0,6.0,0.6666666666666666,8.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1570.98,0.19966725936357316,0.0,1399.05,0.0
