transaction_id,event_timestamp,event_sequence,sender_wallet,receiver_wallet,amount,transaction_type,channel,agent_id,partition
TXN002056,2024-01-01T00:00:00+00:00,0,W0560,W0950,9742.323433194233,transfer,agent,A0067,train
TXN002157,2024-01-01T00:00:00+00:00,1,W0283,W0835,1030.6617092685742,transfer,p2p,,train
TXN076297,2024-01-01T00:01:00+00:00,2,W1487,W1245,12529.728427755314,transfer,p2p,,validation
TXN020790,2024-01-01T00:11:00+00:00,3,W0935,W0142,5879.2525907202735,transfer,p2p,,train
TXN084664,2024-01-01T00:19:00+00:00,4,W1555,W1639,1107.20098199221,transfer,p2p,,final_test
TXN056186,2024-01-01T00:19:00+00:00,5,W0270,W0208,439.07958780786737,transfer,p2p,,train
TXN072930,2024-01-01T00:21:00+00:00,6,W1258,W1360,1396.7909568253915,transfer,agent,A0118,validation
TXN042419,2024-01-01T00:21:00+00:00,7,W0554,W1025,259.68084027337386,transfer,p2p,,train
TXN061685,2024-01-01T00:29:00+00:00,8,W0143,W0182,1828.0331211576797,transfer,agent,A0029,train
TXN013934,2024-01-01T00:31:00+00:00,9,W1033,W0127,138.9465466342359,transfer,p2p,,train
TXN055363,2024-01-01T00:33:00+00:00,10,W0009,W0784,9629.781769148145,transfer,agent,A0071,train
TXN087280,2024-01-01T00:35:00+00:00,11,W1719,W1676,7132.244355349443,transfer,agent,A0140,final_test
TXN038419,2024-01-01T00:42:00+00:00,12,W1068,W0664,1815.3635291373569,transfer,agent,A0080,train
TXN085663,2024-01-01T00:55:00+00:00,13,W1709,W1749,9471.95681993322,transfer,p2p,,final_test
TXN023475,2024-01-01T00:57:00+00:00,14,W0188,W0195,642.7904506809632,transfer,p2p,,train
TXN053434,2024-01-01T00:59:00+00:00,15,W0681,W0003,589.73959876658,transfer,agent,A0037,train
TXN040750,2024-01-01T01:00:00+00:00,16,W0196,W0132,80.58070302789332,transfer,agent,A0008,train
TXN093379,2024-01-01T01:01:00+00:00,17,W1981,W1825,5086.178625464177,transfer,agent,A0155,independent
TXN021312,2024-01-01T01:03:00+00:00,18,W0606,W0750,5876.65907271263,transfer,p2p,,train
TXN068488,2024-01-01T01:07:00+00:00,19,W1392,W1363,141.60699819063655,transfer,agent,A0106,validation
TXN050186,2024-01-01T01:13:00+00:00,20,W0390,W0608,5716.3282738510525,transfer,agent,A0078,train
TXN095018,2024-01-01T01:24:00+00:00,21,W1997,W1986,1117.7340633907118,transfer,agent,A0158,independent
TXN012915,2024-01-01T01:25:00+00:00,22,W0520,W1030,109.39881837716577,transfer,agent,A0027,train
TXN062887,2024-01-01T01:27:00+00:00,23,W1100,W0760,1544.1700808060127,transfer,agent,A0061,train
TXN097028,2024-01-01T01:30:00+00:00,24,W1869,W1912,15994.66491883287,transfer,agent,A0151,independent
TXN049028,2024-01-01T01:33:00+00:00,25,W0539,W0726,4473.151788721149,transfer,agent,A0043,train
TXN043247,2024-01-01T01:34:00+00:00,26,W0741,W0021,84.5435789576492,transfer,agent,A0019,train
TXN075586,2024-01-01T01:35:00+00:00,27,W1263,W1389,372.2963536825222,transfer,agent,A0097,validation
TXN076049,2024-01-01T01:36:00+00:00,28,W1398,W1385,13818.31783325558,transfer,agent,A0105,validation
TXN034525,2024-01-01T01:36:00+00:00,29,W0645,W0728,9832.945642948202,transfer,agent,A0000,train
TXN016654,2024-01-01T01:38:00+00:00,30,W0411,W0179,1648.7399976965517,transfer,agent,A0059,train
TXN030296,2024-01-01T01:41:00+00:00,31,W0740,W0094,9204.623227150912,transfer,agent,A0072,train
TXN062714,2024-01-01T01:42:00+00:00,32,W0117,W0193,94.98071035207299,transfer,agent,A0050,train
TXN052578,2024-01-01T01:44:00+00:00,33,W0394,W0924,17230.395318640163,transfer,p2p,,train
TXN095656,2024-01-01T01:45:00+00:00,34,W1862,W1821,354.79836769288676,transfer,agent,A0153,independent
