transaction_id,sender_account,receiver_account,transaction_type,amount,timestamp,channel,description,sender_avg_amount,sender_max_amount,sender_tx_count,amount_to_sender_avg,amount_to_sender_max,sender_tx_count_24h,sender_volume_24h,amount_to_sender_volume_24h,is_new_recipient,same_day_count,same_day_total,same_recipient_count,rapid_transfer_count
1,ACC000001,ACC131244,transfer,4401.91,2026-08-19T13:37:31.490508+00:00,card,Payment via card,383.6977248919248,767.3954497838496,0,11.472338026606426,5.736169013303213,0,0,1.0,1.0,0,0,0,0
2,ACC000001,ACC315161,deposit,3057.19,2026-08-22T08:21:00.490680+00:00,card,Cash deposit via card,4401.91,4401.91,1,0.6945144266920497,0.6945144266920497,0,0,3057.19,1.0,0,0,0,0
3,ACC000001,ACC884229,withdraw,4329.99,2026-08-29T12:05:02.490778+00:00,mobile,Cash withdrawal via mobile,3729.55,4401.91,2,1.160995294338459,0.9836616377890507,0,0,4329.99,1.0,0,0,0,0
4,ACC000001,ACC373668,deposit,61103.87,2026-08-07T14:04:37.490843+00:00,online,Funds transfer in via online,3929.6966666666667,4401.91,3,15.549258678998973,13.881217471506687,3,11789.09,5.183086226332991,1.0,0,0,1,0
5,ACC000001,ACC343962,withdraw,2591.18,2026-08-23T13:28:17.490910+00:00,online,Cash withdrawal via online,18223.24,61103.87,4,0.14219096055366662,0.04240615201623072,1,4329.99,0.5984263243102178,1.0,0,0,0,0
6,ACC000001,ACC377880,transfer,1964.95,2026-08-23T14:07:34.490970+00:00,mobile,Transfer via mobile,15096.828,61103.87,5,0.13015648055339837,0.03215753764859738,2,6921.17,0.28390431097632335,0.0,1,2591.18,1,0
7,ACC000001,ACC360276,deposit,3157.73,2026-08-07T17:02:13.491031+00:00,card,Funds transfer in via card,12908.181666666665,61103.87,6,0.24463011766826442,0.05167806883590188,6,77449.09,0.04077168627804407,0.0,1,61103.87,1,0
8,ACC000001,ACC206857,withdraw,5079.26,2026-08-07T10:01:25.491097+00:00,online,Cash withdrawal via online,11515.26,61103.87,7,0.4410894760517783,0.08312501319474527,7,80606.82,0.06301278229311118,0.0,2,64261.600000000006,1,0
9,ACC000001,ACC714590,withdraw,2739.73,2026-08-26T10:12:52.491162+00:00,card,Cash withdrawal via card,10710.76,61103.87,8,0.25579230605484576,0.04483725826203806,1,4329.99,0.6327335628950644,0.0,0,0,0,0
10,ACC000001,ACC701761,deposit,1201.22,2026-08-05T15:51:08.491223+00:00,mobile,Credit received via mobile,9825.09,61103.87,9,0.12226045766501885,0.019658656644824624,9,88425.81,0.013584495296113205,1.0,0,0,1,0
11,ACC000001,ACC255851,transfer,2009.03,2026-08-12T14:11:22.491295+00:00,mobile,Wire transfer via mobile,8962.703,61103.87,10,0.22415447661269153,0.032878932218204836,6,19084.95,0.10526776334231946,0.0,0,0,0,0
12,ACC000001,ACC935922,deposit,1193.92,2026-08-20T16:30:03.491366+00:00,online,Credit received via online,8330.550909090909,61103.87,11,0.14331825266167053,0.01953918794341504,5,14683.039999999999,0.08131286164173088,0.0,0,0,0,0
13,ACC000001,ACC127329,withdraw,2110.17,2026-08-22T15:34:50.491429+00:00,mobile,Cash withdrawal via mobile,7735.831666666666,61103.87,12,0.27277868636834784,0.03453414652787131,5,14683.039999999999,0.14371478930793624,0.0,1,3057.19,0,0
14,ACC000001,ACC204998,transfer,3443.81,2026-09-01T15:33:22.491498+00:00,online,Transfer via online,7303.088461538462,61103.87,13,0.4715552903592421,0.0563599326851147,0,0,3443.81,1.0,0,0,0,0
15,ACC000001,ACC721301,withdraw,1614.78,2026-09-01T11:36:54.491567+00:00,online,Debit via online,7027.425714285715,61103.87,14,0.2297825783796464,0.026426804063310556,1,3443.81,0.46889346392512943,1.0,1,3443.81,1,0
16,ACC000001,ACC284084,deposit,8713.01,2026-08-11T13:36:36.491652+00:00,mobile,Cash deposit via mobile,6666.582666666667,61103.87,15,1.3069679677963941,0.14259342329708413,11,29456.66,0.2957908330408132,0.0,0,0,1,0
17,ACC000001,ACC286080,withdraw,985.36,2026-09-02T16:30:00.491792+00:00,online,Funds transfer out via online,6794.484375,61103.87,16,0.145023514017574,0.016125983509718778,0,0,985.36,0.0,0,0,0,0
18,ACC000001,ACC794303,deposit,86183.28,2026-08-11T10:49:07.491870+00:00,mobile,Cash deposit via mobile,6452.771176470588,61103.87,17,13.356010563997538,1.4104389787422629,13,39155.03,2.2010781245730113,1.0,1,8713.01,1,0
19,ACC000001,ACC343962,withdraw,3101.9,2026-08-28T14:50:40.491958+00:00,card,Cash withdrawal via card,10882.24388888889,86183.28,18,0.2850423158744987,0.035991900053003324,4,10373.94,0.2990088625922263,0.0,0,0,0,0
20,ACC000001,ACC908274,withdraw,2164.09,2026-08-11T12:08:11.492029+00:00,card,Cash withdrawal via card,10472.752105263158,86183.28,19,0.20664004821735643,0.025110323023212856,15,128440.20999999999,0.01684900702046501,0.0,2,94896.29,2,0
21,ACC000001,ACC435039,deposit,54656.66,2026-08-26T17:06:59.492121+00:00,online,Cash deposit via online,10057.319,86183.28,20,5.434515898322406,0.6341909938911585,6,16215.57,3.3706283528731955,1.0,1,2739.73,0,0
22,ACC000001,ACC504684,transfer,2289.71,2026-08-27T11:44:04.492200+00:00,card,Payment via card,12181.097142857143,86183.28,21,0.1879723946986713,0.02656791433326743,6,68132.5,0.03360672219572157,0.0,0,0,1,0
23,ACC000001,ACC820539,deposit,1571.04,2026-08-05T14:22:34.492279+00:00,card,Funds transfer in via card,11731.488636363636,86183.28,22,0.13391650869697036,0.018229057886866223,22,258092.75,0.006087114031680471,0.0,1,1201.22,1,0
24,ACC000001,ACC493696,transfer,2136.46,2026-08-24T08:20:16.492350+00:00,mobile,Transfer via mobile,11289.73,86183.28,23,0.18923924664274522,0.02478972719534462,10,77718.07,0.027489874619892128,0.0,0,0,0,0
25,ACC000001,ACC206176,withdraw,48819.1,2026-08-05T15:45:01.492403+00:00,mobile,Cash withdrawal via mobile,10908.34375,86183.28,24,4.475390684309889,0.5664567419573727,24,261800.25,0.18647461184624536,1.0,2,2772.26,1,0
26,ACC000001,ACC676363,withdraw,2745.83,2026-08-04T16:16:42.492463+00:00,online,Cash withdrawal via online,12424.774,86183.28,25,0.22099637385758486,0.03186035620830398,25,310619.35,0.008839854954303394,0.0,0,0,1,0
