scenario,amount,velocity,frequency,recipient,timing,historical_behavior,country,overall
behavioral_change,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
cash_deposit,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
cash_withdrawal,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
funnel,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
high_risk_country,NONE,NONE,WEAK,NONE,NONE,NONE,NONE,NONE
layering,NONE,NONE,WEAK,NONE,NONE,NONE,NONE,NONE
legitimate_high_value,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
multiple_typologies,NONE,NONE,STRONG,WEAK,WEAK,NONE,NONE,MODERATE
new_recipient,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
rapid_movement,NONE,NONE,WEAK,NONE,NONE,NONE,NONE,NONE
severe_funnel,NONE,NONE,STRONG,WEAK,WEAK,NONE,NONE,MODERATE
severe_layering,NONE,NONE,STRONG,WEAK,WEAK,NONE,NONE,MODERATE
severe_structuring,NONE,NONE,STRONG,WEAK,WEAK,NONE,NONE,MODERATE
structuring,NONE,NONE,WEAK,NONE,NONE,NONE,NONE,NONE
