date,normal_count,suspicious_count,super_suspicious_count,normal_pct,suspicious_pct,super_suspicious_pct
2026-08-03,234,68,7,75.5,22.0,2.3
2026-08-04,253,71,13,75.1,21.1,3.8
2026-08-05,206,68,10,72.5,23.9,3.5
2026-08-06,250,64,12,76.2,19.5,3.7
2026-08-07,229,64,9,75.7,21.2,3.0
2026-08-08,268,75,7,76.6,21.4,2.0
2026-08-09,211,73,22,71.7,24.8,3.5
2026-08-10,223,66,8,75.3,22.3,2.7
2026-08-11,205,65,7,73.5,23.2,2.5
2026-08-12,244,74,7,75.0,22.8,2.2
2026-08-13,221,72,7,74.3,24.2,2.4
2026-08-14,238,69,8,75.7,22.0,2.5
2026-08-15,229,66,9,75.7,21.9,3.0
2026-08-16,247,71,8,76.2,21.9,2.5
2026-08-17,215,68,7,74.5,23.5,2.4
2026-08-18,233,70,8,75.4,22.6,2.6
2026-08-19,241,69,9,75.6,21.6,2.8
2026-08-20,227,67,9,75.4,22.3,3.0
2026-08-21,239,72,8,75.2,22.7,2.5
2026-08-22,235,68,7,75.8,22.0,2.3
2026-08-23,242,70,8,75.7,22.0,2.5
2026-08-24,228,69,9,75.0,22.7,3.0
2026-08-25,236,71,8,75.4,22.7,2.6
2026-08-26,234,68,7,75.5,22.0,2.3
2026-08-27,221,65,6,76.0,22.4,2.1
2026-08-28,218,63,5,76.0,22.0,2.1
2026-08-29,215,62,4,76.3,22.1,1.4
2026-08-30,212,61,3,76.6,22.0,1.1
2026-08-31,209,60,2,77.2,22.2,0.7
2026-09-01,206,59,1,77.5,22.3,0.4
2026-09-02,203,58,0,77.8,22.2,0.0
