feature,category,scenario_coverage,data_availability,temporal_safety,observability,aml_meaning
amount,amount,normal/suspicious/severe,AVAILABLE,SAFE,MODERATE,Transaction amount
sender_avg_amount,amount,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Average transaction amount for sender
sender_max_amount,amount,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Maximum transaction amount for sender
sender_tx_count,frequency,normal/suspicious/severe,AVAILABLE,SAFE,STRONG for severe,Total transaction count for sender
amount_to_sender_avg,amount,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Current amount divided by sender average
amount_to_sender_max,amount,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Current amount divided by sender maximum
sender_tx_count_24h,velocity,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Transaction count in last 24 hours
sender_volume_24h,velocity,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Total transaction volume in last 24 hours
amount_to_sender_volume_24h,velocity,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Current amount divided by 24h volume
is_new_recipient,recipient,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Binary flag if recipient is new
same_day_count,velocity,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Number of transactions on same day
same_day_total,velocity,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Total transaction amount on same day
same_recipient_count,recipient,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Count of previous transactions to same recipient
rapid_transfer_count,velocity,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Count of rapid transfers
hour,timing,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Hour of day
day_of_week,timing,normal/suspicious/severe,AVAILABLE,SAFE,MODERATE for severe,Day of week
is_weekend,timing,normal/suspicious/severe,AVAILABLE,SAFE,MODERATE for severe,Binary flag if weekend
is_deposit,transaction_type,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Binary flag if deposit
is_withdraw,transaction_type,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Binary flag if withdraw
is_transfer,transaction_type,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Binary flag if transfer
is_off_hours,timing,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Binary flag if outside business hours
time_since_last_tx,timing,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Time since last transaction
tx_frequency_7d,frequency,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Transaction frequency in last 7 days
tx_frequency_30d,frequency,normal/suspicious/severe,AVAILABLE,SAFE,STRONG for severe,Transaction frequency in last 30 days
frequency_change_vs_avg_7d,frequency,normal/suspicious/severe,AVAILABLE,SAFE,MODERATE for severe,Change in frequency vs 7-day average
unique_recipients_24h,recipient,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Number of unique recipients in last 24 hours
unique_recipients_7d,recipient,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Number of unique recipients in last 7 days
recipient_concentration,recipient,normal/suspicious/severe,AVAILABLE,SAFE,WEAK,Herfindahl index of recipient concentration
