transaction_id,sender_account,amount,sender_avg_amount,sender_max_amount,sender_tx_count,amount_to_sender_avg,amount_to_sender_max,sender_tx_count_24h,sender_volume_24h,amount_to_sender_volume_24h,same_day_count,same_day_total,is_new_recipient,same_recipient_count,rapid_transfer_count,new_recipient_ratio_7d,hour,day_of_week,is_weekend,is_deposit,is_withdraw,is_transfer,tx_frequency_7d,tx_frequency_30d,frequency_change_vs_avg_7d,unique_recipients_24h,unique_recipients_7d,recipient_concentration,amount_std_dev,amount_z_score,amount_change_vs_avg_7d,is_off_hours,time_since_last_tx,threshold_proximity_10k,threshold_proximity_5k,near_threshold_count_7d,near_threshold_ratio_7d,amount_clustering_score,counterparty_diversity_7d,counterparty_diversity_30d,pass_through_ratio_7d,rapid_counterparty_switch_count,single_counterparty_dominance_7d,inbound_aggregation_7d,outbound_diversification_7d,many_to_one_ratio_7d,concentration_index_7d,inbound_to_outbound_time_avg_7d,same_day_pass_through_count_7d,funds_through_ratio_7d,velocity_score_7d,amount_deviation_from_baseline_30d,frequency_deviation_from_baseline_30d,counterparty_change_score_7d,rolling_behavioral_change_7d,concurrent_suspicious_indicators,typology_aggregation_score,severity_index
42,ACC000001,1878.22,11561.49975609756,93243.54,41,0.1624547022119187,0.02014316487769555,41,474021.49,0.003962309810046798,0,0.0,1.0,1,0,0.0,8,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,8121.78,3121.7799999999997,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
26,ACC000001,2745.83,12424.774,86183.28,25,0.22099637385758486,0.03186035620830398,25,310619.35,0.008839854954303394,0,0.0,0.0,1,0,0.0,16,1,0.0,0.0,1.0,0.0,1,1,0.0,0,1,1.0,0.0,0.0,0.4619320420398036,0.0,114343.999007,7254.17,2254.17,0,0.0,0.0,1,1,1.0,0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,1.0,0.0,29.0,0.0,0.0,1,1.0,3.0
31,ACC000001,3688.4,10749.006333333333,86183.28,30,0.34313869446351,0.042797164368773156,30,322470.19,0.011437956482116998,3,51591.36,0.0,1,0,0.0,8,2,0.0,0.0,1.0,0.0,2,2,0.0,1,2,0.5,433.80499999999995,3.172796533004461,0.5953114693829002,1.0,58554.000285,6311.6,1311.6,0,0.0,433.80499999999995,2,2,1.0,1,0.5,0.0,1.0,0.5,0.5,0.0,0,0.0,1.0,3.172796533004461,29.0,0.0,0.0,2,0.0,2.0
23,ACC000001,1571.04,11731.488636363636,86183.28,22,0.13391650869697036,0.018229057886866223,22,258092.75,0.006087114031680471,1,1201.22,0.0,1,0,0.0,14,2,0.0,1.0,0.0,0.0,3,3,0.0,2,3,0.3333333333333333,739.2140683335391,-1.623043605448968,-0.43300470980276584,0.0,20997.999531,8428.96,3428.96,0,0.0,739.2140683335391,3,3,1.0,2,0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0,0.0,1.5,-1.623043605448968,28.999999999999996,0.0,0.0,1,0.0,1.0
25,ACC000001,48819.1,10908.34375,86183.28,24,4.475390684309889,0.5664567419573727,24,261800.25,0.18647461184624536,2,2772.26,1.0,1,0,0.0,15,2,0.0,0.0,1.0,0.0,4,4,0.0,3,4,0.25,824.455934825355,56.21674311777254,18.757838577263698,0.0,4947.000124,38819.1,43819.1,0,0.0,824.455934825355,4,4,0.75,3,0.25,0.25,0.75,0.25,0.25,0.0,0,5.291049241266932,2.0,56.21674311777254,29.0,0.0,0.0,2,0.0,2.0
10,ACC000001,1201.22,9825.09,61103.87,9,0.12226045766501885,0.019658656644824624,9,88425.81,0.013584495296113205,0,0.0,1.0,1,0,0.0,15,2,0.0,1.0,0.0,0.0,5,5,0.0,4,5,0.20000000000000004,18553.950869112916,-0.5680352435095078,-0.8976859453731088,0.0,366.99882,8798.78,3798.7799999999997,0,0.0,18553.950869112916,5,5,0.8,4,0.2,0.2,0.8,0.2,0.20000000000000004,0.0,0,36.365433088909256,2.5,-0.5680352435095078,29.0,0.0,0.0,1,0.0,1.0
43,ACC000001,1100.93,11330.945476190476,93243.54,42,0.09716135359695849,0.011807037785137716,39,467587.26,0.0023544910098705425,0,0.0,1.0,1,0,0.0,13,3,0.0,1.0,0.0,0.0,6,6,0.0,3,6,0.16666666666666666,17386.821955201605,-0.510906383939579,-0.8897302191630215,0.0,77888.00232,8899.07,3899.0699999999997,0,0.0,17386.821955201605,6,6,0.6666666666666666,5,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0,20.60829431582896,2.0,-0.510906383939579,28.999999999999996,0.0,0.0,1,1.0,3.0
39,ACC000001,3697.96,12275.955526315789,93243.54,38,0.30123602126716215,0.039659154939848916,33,408460.72,0.009053404204937993,3,69340.86,0.0,1,0,0.0,8,4,0.0,1.0,0.0,0.0,7,7,0.0,1,7,0.14285714285714285,16394.446847081846,-0.30601842830920917,-0.5756769064174357,1.0,67545.999702,6302.04,1302.04,0,0.0,16394.446847081846,7,7,0.5714285714285714,6,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0,14.750515724764341,2.3333333333333335,-0.30601842830920917,29.0,0.0,0.0,1,1.0,3.0
8,ACC000001,5079.26,11515.26,61103.87,7,0.4410894760517783,0.08312501319474527,7,80606.82,0.06301278229311118,2,64261.600000000006,0.0,1,0,0.0,10,4,0.0,0.0,1.0,0.0,8,8,0.0,2,8,0.125,15425.098216512875,-0.19504430103266748,-0.37198787685830725,0.0,6382.997852,4920.74,79.26000000000022,0,0.0,15425.098216512875,8,8,0.5,7,0.125,0.5,0.5,0.125,0.125,0.0,0,7.545954049252756,2.0,-0.19504430103266748,29.0,0.0,0.0,1,1.0,3.0
46,ACC000001,74203.24,10696.11,93243.54,45,6.937404346066,0.7958003310470625,39,421421.14,0.17607858969770715,4,73038.82,0.0,1,0,0.0,11,4,0.0,0.0,1.0,0.0,9,9,0.0,3,9,0.1111111111111111,14573.62553830983,4.559585308008083,8.570226459675252,0.0,4821.002672,64203.240000000005,69203.24,0,0.0,14573.62553830983,9,9,0.5555555555555556,8,0.1111111111111111,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.0,0,8.216824392595576,2.25,4.559585308008083,29.0,0.0,0.0,2,1.0,4.0
