transaction_id,sender_account,amount,sender_avg_amount,sender_max_amount,amount_to_sender_avg,amount_z_score,amount_deviation_from_baseline_30d,tx_frequency_7d,tx_frequency_30d,frequency_change_vs_avg_7d,sender_tx_count_24h,sender_volume_24h,same_day_count,rapid_transfer_count,is_new_recipient,unique_recipients_7d,hour,is_off_hours,counterparty_change_score_7d,is_cross_border,is_high_risk_country,cross_border_count_7d,cross_border_volume_7d,cross_border_ratio_7d,transaction_type_sequence_last_3,time_since_last_transaction_hours,recurring_pattern_score,amount_near_threshold_flag,same_day_cumulative_amount,structuring_pattern_score
1,ACC000001,4229.51,383.6977248919248,767.3954497838496,11.023026006190983,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-721.1525010330556,0.0,0.0,11732.5,0.0
2,ACC000001,3597.35,4229.51,4229.51,0.8505358776785017,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-477.35250100083334,0.0,0.0,11255.14,0.0
3,ACC000001,4418.25,3913.43,4229.51,1.128996813536974,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-95.78166765027778,0.0,0.0,10884.970000000001,0.0
4,ACC000001,4593.63,4081.703333333333,4418.25,1.1254198614793989,0.0,0.0,0.0,0.0,0.0,2,8015.6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-691.3925009708333,0.0,0.0,10369.67,0.0
5,ACC000001,1693.39,4209.685,4593.63,0.4022605016764912,0.0,0.0,0.0,0.0,0.0,1,4418.25,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-338.2780565133333,0.0,0.0,3386.78,0.0
6,ACC000001,2015.97,3706.426,4593.63,0.5439121137181748,0.0,0.0,0.0,0.0,0.0,1,4418.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-116.01611205777778,0.0,0.0,9483.38,0.0
7,ACC000001,2958.04,3424.683333333333,4593.63,0.863741173149829,0.0,0.0,0.0,0.0,0.0,4,11724.96,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-602.2480564922222,0.0,0.0,5916.08,0.0
8,ACC000001,1961.3,3358.02,4593.63,0.5840644189135265,0.0,0.0,0.0,0.0,0.0,4,11724.96,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-530.0869453697222,0.0,0.0,5160.66,0.0
9,ACC000001,2308.39,3183.43,4593.63,0.7251266715460997,0.0,0.0,0.0,0.0,0.0,2,6434.22,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-169.49138953083335,0.0,0.0,4616.78,0.0
10,ACC000001,4389.86,3086.2033333333334,4593.63,1.4224143796963042,0.0,0.0,0.0,0.0,0.0,2,6434.22,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-143.87666728861112,0.0,0.0,11227.47,0.0
11,ACC000001,1845.3,3216.569,4593.63,0.5736858124293307,0.0,0.0,0.0,0.0,0.0,2,6434.22,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-116.60833394305556,0.0,0.0,9312.71,0.0
12,ACC000001,1946.83,3091.9081818181817,4593.63,0.6296532385561255,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-44.688889485555556,0.0,0.0,3893.66,0.0
13,ACC000001,3835.41,2996.485,4593.63,1.2799696978292898,0.0,0.0,0.0,0.0,0.0,7,18617.99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-358.4580561405555,0.0,0.0,12102.49,0.0
14,ACC000001,988.57,3061.017692307692,4593.63,0.3229546834976703,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-20.453056127222222,0.0,0.0,5693.86,0.0
15,ACC000001,1228.95,2912.9857142857145,4593.63,0.4218867239798145,0.0,0.0,0.0,0.0,0.0,9,23441.97,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-404.6436116711111,0.0,0.0,6145.7699999999995,0.0
16,ACC000001,1182.41,2800.7166666666667,4593.63,0.4221812274239331,0.0,0.0,0.0,0.0,0.0,14,37781.24,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"withdraw,withdraw,deposit",-696.9347227658333,0.0,0.0,6958.45,0.0
