transaction_id,customer_id,sender_account,receiver_account,amount,transaction_type,channel,timestamp,description,destination_country,sender_avg_amount,sender_max_amount,sender_tx_count,amount_to_sender_avg,amount_to_sender_max
26,CUST00001,CUST00001,ACC56843,100.0,transfer,card,2024-01-01T10:00:00+00:00,Transaction 26,ZW,100.0,100.0,0,1.0,1.0
21,CUST00001,CUST00001,ACC36309,100.0,transfer,mobile,2024-01-01T18:00:00+00:00,Transaction 21,ZW,100.0,100.0,1,1.0,1.0
20,CUST00001,CUST00001,ACC10854,100.0,deposit,mobile,2024-01-02T02:00:00+00:00,Transaction 20,ZW,100.0,100.0,2,1.0,1.0
14,CUST00001,CUST00001,ACC85450,340.55,transfer,online,2024-01-04T04:00:00+00:00,Transaction 14,ZW,100.0,100.0,3,3.4055,3.4055
10,CUST00001,CUST00001,ACC99135,100.0,transfer,mobile,2024-01-05T09:00:00+00:00,Transaction 10,ZW,160.1375,340.55,4,0.6244633518070408,0.29364263691087944
5,CUST00001,CUST00001,ACC82409,1786.99,withdraw,online,2024-01-06T21:00:00+00:00,Transaction 5,ZW,148.10999999999999,340.55,5,12.06528931199784,5.247364557333725
9,CUST00001,CUST00001,ACC22666,748.96,deposit,branch,2024-01-08T10:00:00+00:00,Transaction 9,ZW,421.25666666666666,1786.99,6,1.7779184503509342,0.4191181819708001
43,CUST00001,CUST00001,ACC64021,2021.44,withdraw,card,2024-01-08T20:00:00+00:00,Transaction 43,ZW,468.07142857142856,1786.99,7,4.3186571036166645,1.1311982719545157
18,CUST00001,CUST00001,ACC78840,100.0,withdraw,online,2024-01-09T04:00:00+00:00,Transaction 18,ZW,662.2425000000001,2021.44,8,0.1510020876038611,0.04946968497704606
13,CUST00001,CUST00001,ACC64268,3815.31,withdraw,online,2024-01-15T09:00:00+00:00,Transaction 13,ZW,599.7711111111112,2021.44,9,6.361276709263163,1.887421837897736
27,CUST00001,CUST00001,ACC30932,921.32,withdraw,mobile,2024-01-16T15:00:00+00:00,Transaction 27,ZW,921.325,3815.31,10,0.999994573033403,0.2414797224865083
11,CUST00001,CUST00001,ACC80592,956.46,transfer,mobile,2024-01-23T04:00:00+00:00,Transaction 11,ZW,921.3245454545454,3815.31,11,1.0381358064525679,0.2506899832516886
40,CUST00001,CUST00001,ACC97922,100.0,deposit,mobile,2024-01-24T12:00:00+00:00,Transaction 40,FR,924.2524999999999,3815.31,12,0.10819554180270002,0.026210189997667294
38,CUST00001,CUST00001,ACC88069,1961.3,transfer,branch,2024-01-24T17:00:00+00:00,Transaction 38,ZW,860.8484615384615,3815.31,13,2.278333629701645,0.5140604564242486
29,CUST00001,CUST00001,ACC71267,100.0,deposit,online,2024-01-24T19:00:00+00:00,Transaction 29,ZW,939.4521428571427,3815.31,14,0.10644501772689707,0.026210189997667294
8,CUST00001,CUST00001,ACC77563,2688.44,deposit,card,2024-01-26T12:00:00+00:00,Transaction 8,ZW,883.4886666666665,3815.31,15,3.0429818756399825,0.7046452319732865
49,CUST00001,CUST00001,ACC88781,6844.42,deposit,online,2024-01-29T13:00:00+00:00,Transaction 49,ZW,996.298125,3815.31,16,6.869851330895559,1.7939354862383399
22,CUST00001,CUST00001,ACC62083,4927.58,withdraw,branch,2024-02-01T22:00:00+00:00,Transaction 22,ZW,1340.3052941176472,6844.42,17,3.6764608941158703,0.7199412075822349
31,CUST00001,CUST00001,ACC56214,100.0,withdraw,branch,2024-02-02T13:00:00+00:00,Transaction 31,ZW,1539.5983333333336,6844.42,18,0.06495200588032159,0.014610441790538862
28,CUST00001,CUST00001,ACC69040,100.0,transfer,card,2024-02-06T22:00:00+00:00,Transaction 28,ZW,1463.8300000000002,6844.42,19,0.06831394355901982,0.014610441790538862
1,CUST00001,CUST00001,ACC77435,1423.98,withdraw,online,2024-02-11T15:00:00+00:00,Transaction 1,ZW,1395.6385000000002,6844.42,20,1.0203071927293492,0.20804976900891528
6,CUST00001,CUST00001,ACC11016,3712.14,transfer,mobile,2024-02-13T01:00:00+00:00,Transaction 6,ZW,1396.9880952380954,6844.42,21,2.6572452640459487,0.5423600538833093
